I
640 Version - Iran FIR custom airways (from AIP, generated)
PEDUK  28.988889   57.913056 NABOX  28.275000   58.433611 1 160 600 R654
NABOX  28.275000   58.433611 LADPA  26.891944   59.420556 1 160 600 R654
LADPA  26.891944   59.420556 DUGLI  26.670556   59.575278 1 130 600 R654
DUGLI  26.670556   59.575278 NAGES  26.414167   59.753889 1 130 600 R654
NAGES  26.414167   59.753889 EGPER  25.869444   60.126944 1 130 600 R654
EGPER  25.869444   60.126944 CBH    25.444722   60.414167 1 130 600 R654
CBH    25.444722   60.414167 EGPIC  25.136389   60.625000 1 160 600 R654
EGPIC  25.136389   60.625000 DENDA  24.706667   60.914167 1 160 600 R654
TRN    35.696944   51.283611 SOLIR  34.946667   51.692778 1 130 600 R659
SOLIR  34.946667   51.692778 BOXAM  34.285833   52.046389 1 130 600 R659
